1787773857 2.07 2.97 4.36 2/4309 28517 | === RUN 5 ===
1787773862 2.07 2.95 4.35 3/4343 28533 | === RUN 5 ===
1787773867 2.30 2.99 4.35 1/4311 28549 | === RUN 5 ===
1787773873 2.68 3.05 4.37 4/4307 28565 | === RUN 5 ===
1787773878 2.94 3.10 4.38 4/4312 28581 | === RUN 5 ===
1787773883 2.95 3.10 4.37 4/4338 28597 | === RUN 5 ===
1787773888 3.11 3.13 4.37 2/4316 28613 | === RUN 5 ===
1787773893 3.02 3.11 4.36 2/4364 28629 | === RUN 5 ===
1787773898 2.94 3.09 4.35 4/4354 28645 | === RUN 5 ===
1787773903 2.95 3.09 4.34 2/4352 28661 | === RUN 5 ===
1787773908 2.79 3.06 4.32 6/4404 28677 | === RUN 5 ===
1787773913 2.89 3.07 4.32 4/4370 28693 | === RUN 5 ===
1787773918 2.90 3.07 4.31 3/4349 28709 | === RUN 5 ===
1787773923 3.23 3.14 4.33 2/4388 28726 | === RUN 5 ===
1787773928 2.97 3.08 4.30 1/4360 28742 | === RUN 5 ===
1787773933 2.89 3.07 4.29 3/4360 28758 | === RUN 5 ===
1787773938 2.90 3.07 4.28 3/4399 28774 | === RUN 5 ===
1787773943 2.75 3.03 4.27 2/4373 28790 | === RUN 5 ===
1787773948 2.61 3.00 4.25 4/4387 28806 | === RUN 5 ===
1787773953 2.48 2.96 4.23 4/4422 28822 | === RUN 5 ===
1787773958 2.28 2.91 4.21 3/4406 28838 | === RUN 5 ===
1787773963 2.26 2.90 4.20 3/4438 28854 | === RUN 5 ===
1787773968 2.16 2.87 4.18 1/4421 28870 | === RUN 5 ===
1787773973 2.14 2.85 4.17 4/4435 28886 | === RUN 5 ===
1787773978 2.21 2.85 4.16 4/4452 28902 | === RUN 5 ===
1787773983 2.27 2.86 4.15 7/4438 28918 | === RUN 5 ===
1787773988 2.41 2.88 4.15 2/4430 28934 | === RUN 5 ===
1787773993 2.54 2.90 4.15 3/4472 28950 | === RUN 5 ===
1787773998 2.34 2.85 4.13 4/4443 28966 | === RUN 5 ===
1787774003 2.31 2.83 4.12 4/4427 28982 | === RUN 5 ===
1787774008 2.12 2.79 4.09 23/4453 28998 | === RUN 5 ===
1787774013 1.95 2.74 4.07 3/4460 29014 | === RUN 5 ===
1787774018 2.04 2.74 4.07 1/4486 29030 | === RUN 5 ===
1787774023 2.03 2.73 4.06 2/4490 29046 | === RUN 5 ===
1787774028 1.95 2.70 4.04 2/4526 29062 | === RUN 5 ===
1787774033 2.12 2.72 4.04 2/4502 29078 | === RUN 5 ===
1787774038 2.19 2.73 4.03 1/4514 29094 | === RUN 5 ===
1787774043 2.33 2.75 4.03 3/4541 29110 | === RUN 5 ===
1787774048 2.31 2.74 4.02 1/4540 29126 | === RUN 5 ===
1787774053 2.28 2.72 4.01 1/4546 29142 | === RUN 5 ===
1787774058 2.10 2.68 3.99 2/4571 29158 | === RUN 5 ===
1787774063 2.25 2.70 3.99 3/4589 29174 | === RUN 5 ===
1787774068 2.47 2.74 3.99 5/4599 29190 | === RUN 5 ===
1787774073 2.43 2.73 3.98 1/4597 29206 | === RUN 5 ===
1787774078 2.32 2.70 3.97 1/4578 29222 | === RUN 5 ===
1787774083 2.29 2.69 3.96 2/4599 29238 | === RUN 5 ===
1787774088 2.19 2.66 3.94 2/4625 29254 | === RUN 5 ===
1787774093 2.17 2.65 3.93 2/4684 29270 | === RUN 5 ===
1787774098 2.16 2.64 3.92 1/4720 29286 | === RUN 5 ===
1787774103 2.15 2.63 3.91 2/4854 29302 | === RUN 5 ===
1787774108 2.13 2.61 3.90 1/4884 29318 | === RUN 5 ===
1787774113 2.12 2.60 3.89 1/4922 29334 | === RUN 5 ===
1787774118 3.15 2.81 3.95 14/4256 29408 | === RUN 6 ===
1787774123 3.22 2.83 3.95 2/4136 29424 | === RUN 6 ===
1787774128 3.04 2.80 3.93 1/4172 29440 | === RUN 6 ===
1787774133 2.80 2.75 3.91 2/4177 29456 | === RUN 6 ===
1787774138 2.66 2.72 3.89 2/4220 29472 | === RUN 6 ===
1787774143 2.52 2.69 3.88 2/4202 29488 | === RUN 6 ===
1787774148 2.32 2.65 3.86 1/4250 29504 | === RUN 6 ===
1787774153 2.54 2.69 3.86 3/4212 29520 | === RUN 6 ===
1787774158 2.33 2.64 3.84 2/4260 29536 | === RUN 6 ===
1787774163 2.31 2.63 3.83 4/4264 29552 | === RUN 6 ===
1787774168 2.12 2.59 3.81 3/4241 29568 | === RUN 6 ===
1787774173 2.19 2.60 3.81 3/4243 29584 | === RUN 6 ===
1787774178 2.02 2.55 3.79 4/4280 29600 | === RUN 6 ===
1787774183 2.01 2.54 3.78 4/4241 29616 | === RUN 6 ===
1787774188 2.09 2.55 3.77 1/4265 29632 | === RUN 6 ===
1787774193 2.00 2.53 3.76 3/4317 29648 | === RUN 6 ===
1787774198 2.00 2.52 3.75 1/4300 29664 | === RUN 6 ===
1787774203 2.08 2.52 3.74 21/4322 29680 | === RUN 6 ===
1787774208 2.00 2.50 3.73 2/4341 29696 | === RUN 6 ===
1787774213 1.92 2.47 3.71 1/4309 29712 | === RUN 6 ===
1787774218 2.00 2.48 3.71 2/4336 29728 | === RUN 6 ===
1787774223 1.92 2.46 3.69 3/4312 29744 | === RUN 6 ===
1787774228 1.85 2.43 3.68 2/4334 29760 | === RUN 6 ===
1787774233 1.94 2.44 3.68 2/4304 29776 | === RUN 6 ===
1787774238 1.95 2.44 3.67 1/4304 29792 | === RUN 6 ===
1787774243 1.87 2.41 3.65 3/4327 29808 | === RUN 6 ===
