"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","TestEntryRefusalWayOutSurvivesDefaultGeometry/80x24/colour/attached-elsewhere","","Sat Sep 26 09:46:43 BST 2026","passed","Sat Sep 26 09:46:43 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","100","TestResumeExportsCurrentLaunchGenerationToThePane","","Sat Sep 26 09:45:57 BST 2026","passed","Sat Sep 26 09:45:57 BST 2026","","github.com/n-orlov/deck/internal/service","github.com/n-orlov/deck/internal/service",""
"","1365","the header cursor is reachable with the arrow keys, and c folds the group under it","","","passed","","","SPEC §11's group navigation and order (Phase 4c Tier 1+2 -- GH #31, #32, #33, #34)","",""
"","60","TestReceiveHookAppliesOverAnyStaleSourceExceptStopped/StopFailure/from_starting/via_hook","","Sat Sep 26 09:45:29 BST 2026","passed","Sat Sep 26 09:45:29 BST 2026","","github.com/n-orlov/deck/internal/hookrecv","github.com/n-orlov/deck/internal/hookrecv",""
"","0","TestDeckHomeClocksShareOnDemandAdvance","","Sat Sep 26 09:45:29 BST 2026","passed","Sat Sep 26 09:45:29 BST 2026","","github.com/n-orlov/deck/internal/config","github.com/n-orlov/deck/internal/config",""
"","0","TestColorDepthInvalidValueIsAnErrorNamingTheVariable","","Sat Sep 26 09:45:29 BST 2026","passed","Sat Sep 26 09:45:29 BST 2026","","github.com/n-orlov/deck/internal/config","github.com/n-orlov/deck/internal/config",""
"","0","TestSortComparatorsThreeWayTieIsTransitive/activity","","Sat Sep 26 09:46:43 BST 2026","passed","Sat Sep 26 09:46:43 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","0","TestBulkDeleteConfirmTokensMatchSpec","","Sat Sep 26 09:46:43 BST 2026","passed","Sat Sep 26 09:46:43 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","0","TestViewportFollowsDownAndJ/down","","Sat Sep 26 09:46:43 BST 2026","passed","Sat Sep 26 09:46:43 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","100","TestRaiseLostAttachOnClientAttachRunsOrdinaryTeardown","","Sat Sep 26 09:46:43 BST 2026","passed","Sat Sep 26 09:46:43 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","0","TestPendingDeleteIndicatorStaysWithinFrameBudgetAtEveryLayoutMode/marked-set/side-by-side","","Sat Sep 26 09:46:43 BST 2026","passed","Sat Sep 26 09:46:43 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","0","TestConfigFileMissingDefaultsToNoYoloAndNoEnv","","Sat Sep 26 09:45:29 BST 2026","passed","Sat Sep 26 09:45:29 BST 2026","","github.com/n-orlov/deck/internal/config","github.com/n-orlov/deck/internal/config",""
"","630","TestOpenMigratesV1V2V3FixturesToRecentCwdsWithoutRecreatingSessionRow","","Sat Sep 26 09:46:08 BST 2026","passed","Sat Sep 26 09:46:08 BST 2026","","github.com/n-orlov/deck/internal/store","github.com/n-orlov/deck/internal/store",""
"","2124","the permission profile survives a resume","","","passed","","","Permission profile mapping, degradation and the yolo gate","",""
"","20","TestEnterInteractiveDrawsBannerForRealContentionHolders/owned_elsewhere","","Sat Sep 26 09:46:43 BST 2026","passed","Sat Sep 26 09:46:43 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","0","TestHookStoreWriteMeasuresOnlyCallbackWithMonotonicClock","","Sat Sep 26 09:45:29 BST 2026","passed","Sat Sep 26 09:45:29 BST 2026","","github.com/n-orlov/deck/internal/audit","github.com/n-orlov/deck/internal/audit",""
"","2105","passive fit stands down for B while A holds the window interactively","","","passed","","","Forced entry into interactive mode answers a waiting row","",""
"","60","TestReceiveHookAppliesOverAnyStaleSourceExceptStopped/Notification/from_error/via_tmux","","Sat Sep 26 09:45:29 BST 2026","passed","Sat Sep 26 09:45:29 BST 2026","","github.com/n-orlov/deck/internal/hookrecv","github.com/n-orlov/deck/internal/hookrecv",""
