1787794363 3.19 3.73 3.62 3/4645 90018 | === RUN 3 ===
1787794368 3.10 3.70 3.61 2/4689 90028 | === RUN 3 ===
1787794373 3.01 3.68 3.60 3/4738 90038 | === RUN 3 ===
1787794378 3.01 3.66 3.60 1/4749 90048 | === RUN 3 ===
1787794383 3.17 3.69 3.61 2/4817 90058 | === RUN 3 ===
1787794388 2.99 3.64 3.59 3/4895 90068 | === RUN 3 ===
1787794393 2.83 3.60 3.58 2/4945 90078 | === RUN 3 ===
1787794398 2.69 3.55 3.56 2/4996 90088 | === RUN 3 ===
1787794403 2.55 3.51 3.55 18/4196 90152 | === RUN 4 ===
1787794408 2.43 3.47 3.53 2/4266 90162 | === RUN 4 ===
1787794413 2.39 3.45 3.53 3/4229 90172 | === RUN 4 ===
1787794418 2.36 3.42 3.52 1/4248 90182 | === RUN 4 ===
1787794423 2.33 3.40 3.51 3/4252 90190 | === RUN 4 ===
1787794428 2.22 3.36 3.50 3/4323 90200 | === RUN 4 ===
1787794433 2.13 3.32 3.48 5/4326 90210 | === RUN 4 ===
1787794438 2.04 3.28 3.47 3/4351 90220 | === RUN 4 ===
1787794443 2.59 3.37 3.50 4/4295 90230 | === RUN 4 ===
1787794448 3.35 3.52 3.54 5/4327 90240 | === RUN 4 ===
1787794453 3.32 3.51 3.54 2/4292 90250 | === RUN 4 ===
1787794458 3.77 3.60 3.57 1/4327 90260 | === RUN 4 ===
1787794463 3.55 3.56 3.56 6/4394 90270 | === RUN 4 ===
1787794468 3.43 3.53 3.55 3/4337 90280 | === RUN 4 ===
1787794473 3.39 3.52 3.54 5/4344 90290 | === RUN 4 ===
1787794478 3.28 3.50 3.54 1/4318 90300 | === RUN 4 ===
1787794483 3.18 3.47 3.53 2/4329 90314 | === RUN 4 ===
1787794488 3.08 3.45 3.52 4/4405 90324 | === RUN 4 ===
1787794493 3.00 3.42 3.51 4/4437 90334 | === RUN 4 ===
1787794498 3.24 3.46 3.53 4/4433 90344 | === RUN 4 ===
1787794503 3.30 3.47 3.53 2/4376 90354 | === RUN 4 ===
1787794508 3.11 3.43 3.51 3/4399 90364 | === RUN 4 ===
1787794513 3.10 3.43 3.51 3/4355 90374 | === RUN 4 ===
1787794518 3.02 3.40 3.50 2/4401 90384 | === RUN 4 ===
1787794523 2.93 3.38 3.50 5/4424 90394 | === RUN 4 ===
1787794528 3.02 3.39 3.50 9/4450 90404 | === RUN 4 ===
1787794533 2.86 3.35 3.48 3/4404 90414 | === RUN 4 ===
1787794538 2.95 3.36 3.49 1/4422 90424 | === RUN 4 ===
1787794543 2.95 3.35 3.48 3/4444 90434 | === RUN 4 ===
1787794548 2.88 3.33 3.48 3/4448 90444 | === RUN 4 ===
1787794553 2.89 3.32 3.47 4/4512 90454 | === RUN 4 ===
1787794558 2.74 3.29 3.46 2/4476 90464 | === RUN 4 ===
1787794563 2.68 3.26 3.45 2/4426 90474 | === RUN 4 ===
1787794568 2.78 3.28 3.45 3/4423 90484 | === RUN 4 ===
1787794573 2.96 3.31 3.46 3/4457 90494 | === RUN 4 ===
1787794578 2.96 3.30 3.46 2/4460 90504 | === RUN 4 ===
1787794583 2.97 3.29 3.46 2/4482 90514 | === RUN 4 ===
1787794588 2.89 3.27 3.45 2/4476 90524 | === RUN 4 ===
1787794593 2.98 3.29 3.45 2/4457 90534 | === RUN 4 ===
1787794598 2.98 3.28 3.45 6/4483 90544 | === RUN 4 ===
